: noop	635 ;
: dup	636 ;
: 2drop	642 ;
: drop	644 ;
: invert	657 ;
: flip	662 ;
: 1+	664 ;
: 2+	669 ;
: 1-	675 ;
: swap	698 ;
: over	706 ;
: c@i	715 ;
: @i	720 ;
: c!	726 ;
: c!i	726 ;
: !	733 ;
: !i	733 ;
: c@d	743 ;
: @d	751 ;
: c!d	760 ;
: !d	770 ;
: c@	785 ;
: c@p	792 ;
: @	800 ;
: @p	807 ;
: +	818 ;
: and	825 ;
: or	832 ;
: xor	839 ;
: -	846 ;
: 2*	856 ;
: 2/	862 ;
: abs	869 ;
: negate	874 ;
: um*	879 ;
: *	941 ;
: um/mod	945 ;
: 0<	1011 ;
: =	1019 ;
: 0=	1021 ;
: not	1021 ;
: u>	1029 ;
: u<	1031 ;
: >	1043 ;
: <	1045 ;
: (>r)	1061 ;
: (r>)	1076 ;
: (r@)	1091 ;
: execute	1102 ;
: abort	1151 ;
: emit	1164 ;
: key	1173 ;
: key?	1185 ;
: min	1194 ;
: max	1208 ;
: depth	1222 ;
: (exec:)	1242 ;
: number	1296 ;
: perform	1304 ;
: quit	1316 ;
: cr	1371 ;
: count	1383 ;
: type	1391 ;
: (.hex)	1403 ;
: .hex	1412 ;
: (hb.)	1416 ;
: h.	1430 ;
: hb.	1436 ;
: space	1438 ;
: dot	1444 ;
: .	1477 ;
: u.	1490 ;
: .nibble	1494 ;
: (bb.)	1533 ;
: bb.	1543 ;
: b.	1551 ;
: dump	1565 ;
: countd	1633 ;
: dumpd	1645 ;
: .s?	1713 ;
: .s	1814 ;
: .sh	1820 ;
: .su	1826 ;
: clear	1832 ;
: rdepth	1835 ;
: .rs	1847 ;
